,0
H.period,0.039184729128326906
DD.period.t,0.12959185591865172
UD.period.t,0.1424688656073812
H.t,0.0004689111859845066
DD.t.i,0.08611677409669383
UD.t.i,0.08304411120927531
H.i,0.12008992868625351
DD.i.e,0.13648859230375376
UD.i.e,0.18948245381673975
H.e,0.04083708075534406
DD.e.five,0.15777372862288297
UD.e.five,0.17237290488409548
H.five,0.5803496562853374
DD.five.Shift.r,0.11929493044099025
UD.five.Shift.r,0.1427548574547868
H.Shift.r,0.3523715146286185
DD.Shift.r.o,0.09671071968171374
UD.Shift.r.o,0.1377154177463328
H.o,0.19130843495203106
DD.o.a,0.04584541779771973
UD.o.a,0.09022375039959715
H.a,0.011700573198983712
DD.a.n,0.09671545869251562
UD.a.n,0.1340504457348512
H.n,0.10394664890339488
DD.n.l,0.1026941993038245
UD.n.l,0.0767604569617435
H.l,0.16981114332656463
DD.l.Return,0.1989922513340794
UD.l.Return,0.23142757581711834
H.Return,0.5037197873060704
