,0
H.period,2.090743003762263
DD.period.t,4.818416432068123
UD.period.t,4.95771769691694
H.t,0.20089957989144266
DD.t.i,3.2350321685720203
UD.t.i,3.115749686830026
H.i,1.0958868979354435
DD.i.e,3.375946160716424
UD.i.e,3.4843573291765018
H.e,1.73935356956097
DD.e.five,4.802354082447287
UD.e.five,4.742941102659379
H.five,1.5244162521762548
DD.five.Shift.r,3.1526817302610146
UD.five.Shift.r,3.2247064479718346
H.Shift.r,2.1993708632194067
DD.Shift.r.o,2.965294326821466
UD.Shift.r.o,2.6298171854757415
H.o,0.16755670065762307
DD.o.a,2.4059835621435095
UD.o.a,2.3111338430347987
H.a,1.5876551247975002
DD.a.n,1.724045785511053
UD.a.n,1.4551531009862344
H.n,2.3177727882061223
DD.n.l,3.7306113915037087
UD.n.l,3.3656100820196437
H.l,2.9827182184160965
DD.l.Return,2.256657236267217
UD.l.Return,2.5164278089178156
H.Return,6.276447430062587
